id,command_type_id,command,description,created_at,updated_at,
1,1,ruby,rubyを実行します。,2019-04-16 09:43:07,2019-04-16 09:43:07,
2,1,rails new #アプリケーション名,新規Railsアプリケーションを作成します。,2019-04-16 09:43:07,2019-04-17 09:43:07,
3,1,rails new #アプリケーション名 -d mysql,新規Railsアプリケーションを作成します。(DBはMysql),2019-04-16 09:43:07,2019-04-18 09:43:07,
4,1,bundle install,bundlerを用いてgemをインストールする。,2019-04-16 09:43:07,2019-04-19 09:43:07,
,1,bundle update,bundlerを用いてgemをアップデートする。,,,
5,1,rails db:create,DBを作成します。,2019-04-16 09:43:07,2019-04-20 09:43:07,
  ,1,rails s,サーバーを起動する。,,,
,1,rails routes,ルーティングを表示する。,,,
,1,rails g controller #コントローラー名,コントローラーを作成する。,,,
,1,rails g model #モデル名,モデルを作成する。,,,
,1,rails db:migrate,マイグレーションを実行する。,,,
,1,rails c,コンソールを起動する。,,,
,1,rails g devise:install,deviseの設定ファイルの作成する。(要gem devise),,,
,1,rails g devise #モデル名,deviseのモデルを作成する。(要gem devise),,,
,1,rails g rspec:install,RSpecの設定ファイルを作成する。(要gem rspec),,,
,1,rspec,テスト実行。,,,
,1,rspec #ファイル名,#ファイル名のテストを実行。,,,
,2,env | grep #word,#wordに合致した環境変数を表示します。,,,
,3,git --version,Gitのバージョンを確認する。,,,
,3,git init,現在のディレクトリにリポジトリを作成する。,,,
,3,git status,ワークツリーの状態を表示する。,,,
,3,git add #ファイル,#ファイルをインデックスに加える。,,,
,3,git commit -m '#メッセージ ',#メッセージを添えてコミットする。,,,
,3,git log,コミットの履歴を参照する。,,,
,3,git remote add origin #リポジトリURL,#リポジトリURLにローカルリポジトリを追加する。,,,
,3,git push #ブランチ,#ブランチをリモートにプッシュする。,,,
,3,git remote rm #origin,リモートリポジトリの削除。,,,
,3,git push #origin #ブランチ,リモート#originに#ブランチをプッシュする。,,,
